loan_id,member_no,loan_date,loan_type,loan_amount,term,int_rate,status,loan_vchno,interest,fines,payments,last_tran_dt,pb_lineno,installment_type,service_fee,add_on_flag,add_on_pert,int_type,overdue_comptd,class_code,req_crdt_chk,prepain_int,collector,add_on_sva,ins_prem,taxes_prem,doc_stamp,notrl_fee,op_id,dday_colmn,sched_lamt,int_factor,no_of_payments,start_dt,cdt_status,prepaid_prin,filling_fee,last_ws,last_user
236933,06M3631000,2017-01-03 11:13:00,150.15,120000,30,0.01,R,JV1701001,3000,0,10000,2017-03-15 00:00:00,0,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236934,04M4519000,2017-01-03 12:29:00,150.15,100000,36,0.01,R,JV1701002,3000,0,8333.34,2017-03-30 00:00:00,36,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236935,63M4199000,2017-01-03 10:34:00,150.15,117000,36,0.01,R,CDJ170011,3510,0,9750,2017-03-30 00:00:00,0,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236937,68M5452000,2017-01-03 10:30:00,150.15,100000,24,0.01,R,CDJ170010,2500,0,10416.65,2017-03-15 00:00:00,0,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236967,06M3305000,2017-01-03 00:00:00,150.2,5000,3,0,R,JV1701004,0,0,4166.65,2017-03-15 00:00:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236968,06M4581000,2017-01-03 00:00:00,150.1,12000,6,0.02,R,JV1701003,0,0,5000,2017-03-15 00:00:00,0,-31,0,P,0,S,0,LON,0,6,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236969,06M4581000,2017-01-03 00:00:00,150.2,5000,3,0,R,JV1701004,0,0,4166.65,2017-03-15 00:00:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236971,34M1732000,2017-01-03 00:00:00,150.2,5000,3,0,R,JV1701004,0,0,5000,2017-02-02 12:19:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,1,0,0,,
236972,03D0045000,2017-01-04 00:00:00,150.15,120000,12,0.01,R,CDJ170013,3600,0,30000,2017-04-03 13:35:00,0,30,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-02-03 00:00:00,0,0,0,,
236973,06M5474000,2017-01-03 00:00:00,150.2,5000,3,0,R,JV1701004,0,0,5000,2017-02-15 10:51:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,1,0,0,,
236978,06M3879000,2017-01-04 00:00:00,150.4,25000,24,0.01,R,CDJ170014,625,0,2604.15,2017-03-15 00:00:00,0,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236980,06M5294000,2017-01-03 13:41:00,150.1,12000,6,0.02,R,CV0033520,1440,0,5000,2017-03-15 00:00:00,0,-31,0,P,0,S,0,LON,0,6,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236981,15M5165000,2017-01-03 13:41:00,150.1,10000,5,0.02,R,CV0033519,1000,0,10000,2017-01-30 11:10:00,0,-31,0,P,0,S,0,LON,0,5,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236982,15M7237000,2017-01-03 13:40:00,150.1,10000,6,0.02,R,CV0033518,1200,0,4999.98,2017-03-30 00:00:00,0,-31,0,P,0,S,0,LON,0,6,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236983,28M5243000,2017-01-04 00:00:00,150.15,81000,24,0.01,R,CDJ170028,2430,0,10125,2017-03-30 00:00:00,0,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236984,06M3954000,2017-01-03 13:40:00,150.2,5000,3,0,R,CV0033517,300,0,3333.32,2017-03-15 00:00:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236985,15M1912000,2017-01-03 13:40:00,150.2,5000,3,0,R,CV0033516,300,0,5000,2017-03-30 00:00:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236986,77M5282000,2017-01-03 13:39:00,150.2,5000,3,0,R,CV0033515,300,0,5833.35,2017-03-30 00:00:00,0,-31,0,P,0,S,0,LON,0,3,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
236990,61M2245000,2017-01-05 13:44:00,150.3,10000,12,0.01,R,CV0033542,250,0,2083.35,2017-03-15 00:00:00,0,-31,0.01,S,0,S,0,LON,0,0,,0,0,0,0,0,SCEG,0,0,0,0,2017-01-15 00:00:00,0,0,0,,
